F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
Rest,-142.96,165.69,Very low,17259.09,-5.94,-359.64,-5.17,-72.56,59.55,-963.99,-1312.95,31.71,1727.86,-11.64,357.63,-26.18,44.91,58.36,2,6210.55,4,-3111.18,12.8,4824.06,-1061.92,120.51,-2116.76,67.34,15.44,22233.64,5.94,-1946.64,-2723.8,39.56
USA,-64.8,219.9,Very high,26028,3.69,-312.39,-12.12,-115.53,62.04,834.81,-1599,28.33,1764.54,-6.4,844.76,-25.22,498.87,548.04,7,5630.33,3,-1043.58,1150.25,3958.94,-610.16,183.57,-2843.24,47.36,8.02,10224.44,20.16,-2485.6,-2490.24,-8.93
Europe,-78.3,98.94,High,33266.01,12.48,-364.86,-12.3,-121.17,62.31,193.47,-184.8,18.16,1459.9,-0.56,286.55,-26.09,258.81,472.74,3,2418.61,5,-1529.24,3.44,3072.8,-980.24,137.31,-1301.54,53.42,2.38,19562.72,9.06,-2293,-2533.52,524.76
USA,-61.76,23.91,High,26733.69,9.21,-306.96,-4.66,-16.77,45.69,-219,-2547.57,24.79,898.82,-2.08,43.93,-24.64,361.86,359.1,7,4554.25,5,-1781.56,14.8,3921.86,-649.34,96.84,-1666.92,26.5,4.06,10178.16,4.5,-1880.84,-1716.1,237.23
USA,-96.92,129.51,Medium,7447.56,-5.67,-313.68,-5.9,-48.35,24.72,559.98,-3601.74,19.93,1265.6,6.92,257.45,-24.46,201.06,309.24,1,7206.19,4,-1916.78,0.02,4745.68,-19.36,70.5,-1718.66,50.8,4.42,19540.47,12.93,-1963.68,-2153.24,469.65
Europe,-72.4,269.91,Low,30491.61,0.42,-347.79,-7.83,-89.49,62.16,482.46,-2247.12,23.63,481.02,-10.8,568.63,-14.12,174.3,256.92,5,3650.1,8,-1553.8,0.06,2810.88,-1108.34,97.14,-2691.48,45.48,14.2,22573.69,10.47,-1737.27,-2739.92,113.27
UK,-78.98,266.16,High,23286,11.64,-264.63,-6.52,-88.54,53.13,-1165.47,-3484.95,18.74,660.66,-4.84,248.69,-24.96,235.62,251.28,2,7383.26,4,-2601.88,0.25,5131.06,782.52,219.39,-2124.62,51.4,31.56,22185.04,4.83,-525.27,-974.18,678.09
Europe,-71.66,73.11,Medium,22210.14,0.99,-391.47,-10.15,-137.02,27.9,-95.7,-2389.41,26.66,1826.94,-16.38,716.49,-23.67,100.65,362.38,2,3022.32,5,-1704.26,0.37,4023.14,-1131.12,57.93,-2349.02,42.04,6.02,18260.45,2.88,-2006.5,-1315.76,347.33
Rest,-59.9,411.6,Very low,33370.08,9.9,-437.79,-12.56,-86.37,49.23,-791.46,-843.15,24.41,2087.46,-11.76,-65.72,-23.88,235.65,222.34,5,6012.99,1,-160.38,1.25,4287.78,-929.58,-28.92,-1655.7,42.08,2.32,16211.66,3.09,-1880.25,-2751.64,-8.93
Europe,-58.3,220.2,High,10358.91,38.49,-346.86,-14.24,-69.54,25.68,881.16,-1422.69,14.97,1416,-11.16,182.68,-22.68,255.57,333.34,1,6497.14,4,-1466.1,18.23,4166.6,-1200.02,166.17,-2509,39.06,4.06,17292.2,10.32,-2308.42,-1732.4,420.59
Rest,-71.46,180.75,Very high,13705.02,17.31,-119.55,-5.12,-129.87,59.52,831.39,-1707.87,24.19,2160.04,3.5,-538.84,-24.94,234.54,226.98,6,5194.18,6,1937.76,0.01,4118.8,-517.92,277.11,-2137.62,52.26,4.86,14738.28,4.44,-2224.06,-2811.28,308.26
Europe,-82.26,161.25,High,9178.32,6.48,-393.12,-5.59,-118.93,54.78,-1285.71,-914.43,23.88,879.66,-8.42,133.81,-20.12,481.47,279.06,1,3199.74,4,-1795.4,2.11,2680.2,-807.56,35.46,-1050.8,50.62,5,17540.46,22.38,-1907.13,-2456.34,252.41
Europe,-72.9,238.23,Low,1919.55,7.11,-380.97,-10.69,-12.44,68.7,598.68,-997.32,25.94,1733.68,-3.14,756.81,-33,115.92,317.84,6,3236.55,8,-1625.72,0.08,4347.28,-545.1,81.54,-2276.9,39,9.42,8116.55,9.33,-1558.19,-2210.46,445.56
USA,-69.04,230.22,Very high,14886.48,14.25,-458.7,-7,-80.31,64.26,339.18,252.12,25.67,313.2,-3.36,714.16,-24.21,117.3,380.88,4,4159.79,1,-969.82,6.96,3472.18,-333.06,104.19,-4064.96,48.52,6.04,17315.88,16.23,-1984.52,-2786.6,113.21
Europe,-69.48,160.89,Low,996.27,6.84,-184.26,-11.53,-72.97,57.06,1515.72,-1977.39,13.97,1905.38,-3.38,272.98,-23.02,139.11,314.04,8,-4749.17,4,1021.12,0.04,5160.64,-388.36,116.34,-2573.3,48.56,14.16,15093.25,7.47,-913.75,-2841.78,121.3
Europe,-67.18,409.65,Very high,25285.32,4.05,-466.44,-14.96,-100.14,53.43,1720.86,-1553.91,19.91,710.52,-5.48,57.22,-31.74,172.86,245.58,5,4692.08,5,-1314.32,2.39,4755.28,-979.12,115.68,-2242.32,48.54,2.88,21795.92,6.9,-2613.48,-1574.18,451.34
USA,-70.28,61.11,Very low,39931.08,6.63,-383.73,-8.79,-81.58,51.84,-621.33,-1728.51,27.67,205.14,-7.64,152.86,-26.03,211.95,515.08,5,4012.28,1,-1860.56,38.45,4147.98,-1198.26,247.59,-2858.88,56.6,11.5,18241.55,9.03,-2434.66,-1905.86,-8.93
USA,-60.58,218.43,Very high,37226.31,10.68,-274.71,-8.91,-69.99,55.95,916.92,-1293.18,24.25,1734.3,4.26,383.73,-27.99,208.71,371.14,7,3451.65,5,-1761.82,0.48,574.56,-1886.46,234.12,-2092.56,51.04,13.06,19648.79,10.5,-1701.23,-3265.84,281.43
Rest,-69.6,95.37,Low,19379.55,23.85,-200.13,-9.13,-92.14,48.18,446.16,-1251.21,19.55,1410.54,-5.22,713.64,-21.52,146.1,377.76,1,1185.91,2,137.3,0.01,3963.62,-1231.5,52.68,-1423.2,54.74,4.3,20089.36,12.66,-2315.52,-2437.42,70.45
Rest,-61,324.93,Medium,21154.35,1.44,-250.83,-3.15,-33.36,90.84,1081.08,-387.3,24.36,910.8,-17.38,290.07,-29.49,79.56,284.68,5,4647.63,7,-2264.46,18.01,4248.1,-633.64,114.3,-1066.48,44.76,9.08,13959.03,24.48,-2008.55,-3574.28,-8.93
USA,-55.94,348.39,Low,21540.51,13.05,-289.68,-9.85,-39.21,80.07,-55.29,-2561.94,21.35,1700.86,-8.8,513.54,-22.7,221.91,304.14,6,88.88,5,-1402.44,15,4259.34,-710.32,172.71,-2782.58,36.8,8.08,18150.2,5.46,-2209.43,-2192.94,103.92
Europe,-62.32,232.8,Low,17841.96,6.12,-368.91,-6.8,-84.31,52.98,1193.04,-2114.46,21.01,891.54,-1.06,671.11,-27.95,150.75,388.66,4,4786.91,8,-2065.96,0.13,5234.26,131.06,258.06,-2175.66,30.8,10.34,15737,14.91,-1728.21,-1868.44,436.47
Europe,-70.72,206.97,Very low,25886.73,7.62,-360.42,-8.97,-31.76,54.03,1431.12,-2145.84,24.98,882.5,-11.58,687.21,-23.99,178.35,231.12,3,4686.75,3,-1362.14,7.18,3883.2,-691,52.86,-1692.14,45.32,2.1,22723.91,3.75,-1967.88,-1803.2,-8.93
USA,-69.64,376.29,Medium,35736.39,-25.95,-248.1,-7.13,-87.92,57.42,-544.35,-2515.89,21.69,1905.22,-10.32,409.56,-24,195.99,365.26,5,-624.51,2,-1355.42,1141.66,4181.54,-624.66,134.07,-1452.36,47.82,4.4,16630.99,6.39,-2341.56,-883.52,13.55
Rest,-62.8,62.97,Medium,17050.23,3.21,-296.58,-8.84,-55.89,56.49,74.19,-2405.46,23.88,918.88,-4.54,100.64,-26.66,110.79,272.62,2,2401.51,5,-2086.34,0,4840.8,-510.58,125.1,-1683.86,44.62,8.9,13877.17,19.02,-2263.78,-2633.54,96.63
USA,-64.3,388.17,Medium,14365.5,4.5,-306.48,-9.45,-116.76,58.98,142.29,-146.34,28.88,1540.32,-7.26,230.2,-27.34,-27.93,294.74,8,5836.36,6,-1704.74,304.21,4619.94,416.68,358.44,-1545.36,48.22,6.86,15072.06,9.09,-1517.07,-1919.4,60.19
UK,-76.4,28.44,Very low,16127.31,13.89,-181.56,-7.78,-86.19,55.02,634.35,-22.53,19.14,870.9,-11.06,930.84,-24.66,261.93,312.98,5,1791.36,2,-768.64,215.94,4147.76,-1411.38,224.4,-1906.52,45.1,11.52,17124.17,12.3,-1675.94,-1873.36,-8.93
USA,-70.4,203.07,Medium,18584.79,8.04,-387.72,-15.01,-84.4,79.5,-35.04,-1186.17,22.06,679.72,-7.9,450.18,-25.8,103.74,571.1,3,2023.65,6,-1402.6,0.19,4720.86,-193.94,226.71,-2502.74,45.66,2.68,18216.07,14.82,-1504.36,-2162.9,210.78
UK,-69.6,464.55,Medium,13088.7,5.7,-216.39,-11.99,-73.24,40.71,1375.83,-1542.42,22,81.64,3.4,529.55,-28.52,232.53,234.92,7,442.89,2,-1343.6,0,4287.58,-1963.82,124.95,-1679.26,51.64,3.28,20719.06,7.14,-2072.94,-3339.58,322.78
USA,-70.62,342.36,High,30244.68,18.87,-269.01,-7.22,-60.09,53.31,1198.98,-1723.59,24.49,1507.28,-14.4,79.84,-27.04,151.53,252.22,2,-1591.35,3,-936.78,0.12,4261.68,-716.72,264.48,-2252.5,40.26,7.82,16658.73,4.32,-1744.46,-2942.16,216.22
UK,-65.4,195.24,Very low,24789.42,7.89,-239.76,-13.16,-57.36,71.76,755.37,-1886.73,24.36,1181.88,-10.86,-135.83,-21.25,279.15,347.72,5,8363.86,2,-698,53.33,3163.98,-1758.9,265.89,-3069.22,50.4,11.38,17698.43,9.36,-1785.33,-2346.08,-8.93
USA,-55.54,145.86,Medium,19260.24,-8.43,-328.86,-11.94,-48.66,99.21,-729.93,-1238.43,26.29,1556.26,-10.12,203.02,-26.57,168.27,305.32,4,8150.98,2,-1613.7,0.02,3851.72,-254.64,284.34,-2899.4,47.18,5.64,21150.03,5.85,-1415.64,-1220.48,40.5
USA,-76.48,105.78,Very high,23103.6,-1.56,-391.41,-0.88,-18.3,57.75,255.33,-2162.64,26.48,828.2,-2.16,19.65,-26.65,57.24,343.52,4,4605.91,8,-1295.72,7.01,4422.72,-224.94,294.42,-1225.82,40.16,17.1,22213.77,8.61,-1662.17,-1542.2,487.67
Rest,-70.22,94.74,Very low,18692.01,25.02,-113.28,-6.94,-131.37,64.29,-508.65,-1954.74,24.35,1384.54,-8.08,181.73,-17.57,187.92,422.58,7,3144.53,6,-307.4,0.22,4147.02,-407.38,134.76,-3176.7,51.46,7.6,21831.35,9.09,-1587.05,-2351.08,-3.92
Europe,-58.98,119.07,Very low,14841.3,10.83,-244.44,-6.02,-118.43,48.72,1011.9,-1773.51,21.61,898.24,5.4,504.79,-23.06,169.02,271.28,6,9335.32,6,-910.02,0.17,3448.88,-1036.64,61.32,-1461.56,28.92,3.98,21866.75,25.29,-1881.89,-3131.1,-8.93
UK,-72.98,359.46,Low,34407.06,7.26,-273.09,-9.04,-58.19,48.57,20.1,-1272.72,30.32,645.26,4.44,567.66,-27.32,178.11,153.36,3,4642.47,3,-1892.46,0.14,4303,-897.5,114.45,-1683.12,56.56,10.82,17104.09,11.7,-2012.95,-2218.96,420.64
USA,-69,109.26,Low,25930.44,-5.37,-338.73,-14.64,-69,57.42,150.6,-1345.35,18.65,1253.1,-7.48,341.78,-24.53,224.01,291.14,5,3433.84,3,-1067.3,0.51,4154.44,-1943.1,281.85,-940.4,48.72,3.5,19102.96,5.22,-1652.3,-2193.26,56.18
USA,-63.86,177.99,High,25113,29.97,-183.57,-7.3,-103.38,50.25,-1298.49,-2198.46,31.06,1057.98,-9.8,318.87,-26.97,129.24,258.02,2,-5205.88,3,-195.36,4.36,4378.66,114.92,116.73,-1848.34,41.92,2.98,28215.9,6.99,-1736.29,-2548.2,298.68
Rest,-79.62,280.29,High,16123.92,3.66,-223.08,-10.03,-109.18,51.27,1626.6,-516.75,24.93,1355.28,-15.22,76.91,-24.4,226.35,490.7,3,1868.1,3,-302.7,0.02,3876.18,-756.02,157.23,-1931.08,45.4,3.74,1738.64,10.2,-2082.4,-2367.54,35.85
UK,-58.84,154.14,Very high,11930.43,17.58,-142.95,-0.26,-83.29,54.12,-12.48,-2032.47,24.99,1440.16,2.62,12.95,-27.06,195.24,416.5,6,1564.39,1,-2288.52,610.13,3339.94,-1034.66,221.79,-2517.58,48.56,15.56,10985.08,33.06,-2012.05,-2558.08,-8.93
Rest,-77.46,351.48,Very high,34712.61,4.98,-132.81,-6.34,-104.2,65.43,-56.79,-961.11,23.02,991.32,-3.66,67.39,-24.72,296.64,294.64,5,-2920.64,5,-1220.14,17.81,4340.32,27.96,102.45,-1765.9,47.78,0.82,20581.1,19.83,-1988.07,-2042.8,81.74
UK,-50.24,315.48,Very low,15382.44,24.42,-227.79,-8.18,-46.92,61.89,968.19,-1599.99,19.98,1030.12,-5.6,591.93,-21.84,190.53,308.68,1,3519.8,4,-2712.24,1.07,3530.18,-17.02,234.93,-2764.1,46.34,2.48,14033.28,7.89,-2092.59,-1457.14,515.45
Rest,-70.38,64.8,Very high,35684.22,7.92,-174.63,-8.99,-60.51,44.58,-1064.82,340.59,17.71,1329.14,-4.98,-200.07,-24.07,25.83,292.24,4,3300.4,5,-1659.9,31.29,5013.96,-1196.42,150.42,-1699.78,58.3,8.12,15698.52,23.4,-2440.52,-2087.4,40.96
Rest,-64.04,276.21,Low,24190.86,10.41,-240.09,-7.75,-43.46,63.96,1122.42,-1400.01,25.23,1233.54,-2.48,-332.45,-26.27,251.13,179.56,5,3442.47,3,-1233.58,0.55,4851.5,-468.22,37.29,-2017.36,47.8,1.42,20271.26,6.33,-1790.26,-491.34,52.57
UK,-63.44,131.07,Very low,20984.73,-17.46,-401.1,-11,-57.81,54.87,1020.57,-2217.54,26.83,2404.58,-10.42,308.59,-28.92,207.51,253.58,5,2465.34,4,-586.14,11.3,3845.5,-1938.2,123.33,-3426.22,56.44,6.34,17621.98,2.97,-2572.37,-1352.24,40.33
Rest,-68.58,245.04,Very low,13674.57,16.98,-110.25,-8.98,-46.49,51.33,603.3,-886.23,27.79,2179.68,-14.82,520.89,-24.97,260.25,320.92,4,1197.17,3,-2184.42,0.37,3993.38,-78.54,208.2,-2381.74,45.78,4.9,17273.67,15.75,-1706.25,-1691.72,-8.93
Europe,-58.76,250.23,Low,26925.15,30,-203.94,-6.61,-39.4,59.34,-122.73,-1411.77,20.7,980.68,-10.14,211.78,-15.58,225.6,343.72,6,4561.04,4,-1191.52,0.39,4206.52,-161.94,183.72,-2428.66,47.18,4.78,17079.74,19.23,-1884.42,-1636.46,-8.93
USA,-77.18,166.47,Medium,12219.78,13.62,-276.3,-10.48,-85.53,54.42,1150.02,-2552.04,24.49,943.94,-4.98,437.95,-26,102.96,288.02,5,3272.55,2,-882.16,1.02,5930.28,-1036.42,-32.31,-2049.6,47.54,13.9,16420.16,11.22,-1896.99,-2275.62,57.42
UK,-65.94,-25.83,Medium,16984.11,2.16,-224.13,-5.33,-84.73,64.29,498,-2292.39,31.73,1307.34,-8.9,420.73,-28.65,197.46,334.76,7,895.9,3,461.4,0.21,3931.6,-5.22,118.83,-2621.8,48.3,3.64,18304.19,20.88,-2100.76,-2447.64,-8.93
USA,-59.26,181.95,Medium,14116.26,-4.41,-453.72,-6.69,-81.6,52.98,-171.18,-1780.86,18.68,837.88,-9.68,339.84,-14.67,174.54,308.88,5,2202.61,5,-1621,0.34,3878.3,-565.52,186.39,-1956.02,59.66,5.32,15606.16,20.49,-2268.52,-1744.2,-8.93
Rest,-69.24,238.08,Medium,26899.92,3.57,-394.5,-4.99,-85.78,49.35,187.53,-1878.63,23.36,800.82,1.58,-87.26,-30.17,202.62,384.26,4,3987.56,6,-1346.76,0,3712.82,69.04,146.16,-2091.68,45.42,2.32,12485.66,11.64,-2013.48,-1914.32,174.52
UK,-69.86,643.29,High,17316.54,2.34,-421.62,-7.57,-68.07,59.22,1682.79,-1588.68,27.15,1360.16,3.34,13.68,-27.14,254.79,336.02,5,6007.54,3,-1610.84,0.01,4149.6,-1053.36,-41.73,-751.46,70.36,1.92,16347.61,4.38,-1914.97,-2854.78,681.75
Europe,-73.04,200.04,High,14905.8,1.32,-310.89,-8.6,-41.31,62.52,225.12,-2314.74,30.08,741.34,-3.98,24.17,-24.97,133.38,270.26,5,1726.36,2,-3170.56,0.46,4205.94,-249.46,-2.28,-2120.16,44.88,2.16,8410.98,19.92,-1843.17,-1871.56,-8.93
UK,-54.44,366.36,Very high,29265.24,1.77,-218.58,-3.41,-72.61,74.34,316.08,-1451.58,22.79,1305.54,-18.04,279.03,-22.25,146.7,532.18,0,6460.62,3,-1662.68,14.05,3912.82,-647.62,108.99,-2378.98,45.76,1.78,12564.8,8.7,-2459.71,-1851.18,351.45
UK,-85.94,157.65,High,22889.25,-11.73,-139.53,-10.89,-94.31,75.03,573.93,-818.67,18.45,1986.06,-3.08,74.56,-23.81,317.82,332.98,3,462.23,4,-2252.22,0.01,3905.24,-332.66,27.45,-2235.12,49.28,2.46,16277.24,19.08,-1653.37,-3570.66,384.21
USA,-68.06,153,Very low,21653.25,6.06,-222.9,-4.33,-71.73,67.83,-973.89,-921.69,23.34,396.26,-7.3,-194.26,-25.52,124.44,386.16,3,1644.27,3,-577.1,344.44,4128.04,-119.76,84.9,-2307.94,45.76,1.8,16647.72,6.51,-1969.49,-1139.9,108.73
UK,-70.14,-5.16,Low,22956.06,18.45,-181.38,-10.84,-82.02,54.51,1124.34,-2410.71,18.03,1552.1,-12.28,178.25,-27.34,140.28,342.82,0,2289.71,4,-891.76,127.08,3061.46,-735.6,219,-2217.04,51.12,2.8,16249.37,12.21,-1857.23,-1865.96,292.62
Europe,-80.22,266.43,High,17864.37,3,-159.09,-10.53,-68,68.88,1339.32,-2449.47,24.87,1051.7,-6.02,435.95,-28.6,153.48,307.04,3,1815.84,4,-1457,1.54,3905.94,-781.1,211.8,-2648.8,41.16,8.24,23362.18,17.25,-1914.98,-3218.6,261.23
UK,-68.6,163.77,Medium,29077.98,3.27,-220.11,-7.99,-75.24,49.41,2339.25,-1634.88,24.77,1077.1,-8.28,-39.25,-20.3,253.29,424.02,6,6661.25,2,-1636.06,1.02,6402.68,-659.5,122.88,-2747.02,43.78,4.06,16374.62,5.31,-2056.82,-1743.62,-8.93
USA,-75.28,89.91,Medium,29499.18,9.06,-241.65,-7.4,-63.59,43.8,-998.04,-1242.51,26.38,1072.56,-12.18,93.15,-25.47,409.98,215.36,5,4222.4,3,-3044.06,11.74,3933.82,-688.24,-25.38,-2226.4,48.34,4.64,13611.1,14.55,-2108.85,-1816.42,-8.93
USA,-69.54,102.33,High,13427.73,0.39,-199.95,-6.19,-97.31,62.64,1694.82,-1034.34,19.02,1406.12,-12.4,108.31,-23.47,149.73,203.28,6,4622.93,4,-1657.64,0.67,5758.66,-634.7,93.27,-2667.94,41.66,5.92,13595.08,9.39,-1792.58,-1389.78,42.05
USA,-74.44,225.99,Low,13124.25,43.05,-294.75,-6.95,-53.66,58.77,1688.55,-1913.43,29.79,1321.8,-9.34,484.39,-26.37,65.76,181.72,4,6201.98,3,-1762.06,0.06,3539.34,-1234.8,167.04,-2284.38,60.86,5.84,23164.32,6.09,-1589.78,-2146,70.22
USA,-63.84,143.91,Very low,31624.47,3.84,-226.74,-12.49,-51.46,79.8,702.84,-1183.32,19.59,-21.52,-2.04,256.23,-24.38,156.15,224.64,3,2040.05,5,-2019.9,15,3900.62,-614.92,271.53,-2032.56,62.26,2.06,16811.06,9.09,-2185.54,-1604.7,207.47
USA,-67.24,500.91,Medium,26754.51,17.22,-317.61,-4.44,-100.12,48.06,1150.98,-1401.99,21.18,1365.56,0.26,497.89,-25.05,83.88,341.5,3,1087.62,5,-1547.72,33.53,4646.88,-1371.22,217.38,-2260.8,42.8,17.14,15197.57,16.86,-1848.65,-1404.56,252.71
UK,-68.54,38.97,Low,38477.07,8.07,-273.42,-7.19,-61.31,55.74,670.5,-268.35,24.62,1395.54,1.18,496.66,-27.4,194.58,305.62,3,589.94,5,-1113.48,157.61,5581.84,-611.76,187.44,-2360.3,47.82,11.26,11248.88,4.53,-1713.85,-952.94,695.14
Europe,-41.14,197.4,Very high,11470.89,-6.36,-207.39,-8.33,-77.78,71.22,1496.91,-2942.25,24.15,690.56,-22.48,-316.76,-22.79,157.92,310.06,5,6015.77,3,-1354.42,5.63,4017.82,-1218.3,176.19,-1759.02,47.68,17.2,16503.03,9.51,-1509.02,-2890.04,-8.93
USA,-77.38,210.06,Low,10471.17,19.62,-332.67,-8.28,-62.74,53.31,1047.18,-1719.24,26.33,312.34,-8.98,535.97,-25.93,163.71,274.66,3,3275.09,1,-1596.66,13.39,4151.92,-1007.16,61.59,-2607.5,34.86,1.8,17614.83,14.19,-2369.65,-1362.14,-8.93
Europe,-56.64,194.25,Very low,28581.66,7.38,-274.59,-6.14,-93.13,60.78,148.2,-1772.7,25.37,1399.52,0.38,-227.9,-27.75,162.33,232.36,0,1039.67,7,-2406.92,0.37,4204.8,-31.1,225.33,-2012.28,43.22,6.54,17599.48,7.44,-2111.84,-1806.26,569.47
Rest,-70.18,417.99,Medium,11527.32,-2.34,-385.32,-9.98,-106.96,64.41,206.37,-1608.42,29.51,-81.6,-12.2,154.59,-25.22,78.75,351.72,4,5973.63,1,-666.72,0.01,5512,-930.64,-68.49,-2302.82,34.86,14.42,10361.11,9.39,-2704.55,-2149.12,-8.93
USA,-69.46,-81.63,Medium,23192.43,10.44,-231.93,-8.42,-72.39,53.79,-516.81,-1227.54,20.47,1233.02,-2.68,484.06,-35.81,-40.65,258.44,6,-1493.08,5,-2044.22,14.25,5169.18,-761.98,195.54,-2319.04,66.38,5.94,16588.68,2.61,-1933.95,-1869.36,299.68
USA,-81.88,197.19,Medium,32834.55,12.48,-297.6,-8.37,-90.01,63.9,1510.8,-1441.95,19.36,1818.52,-1.26,-186.6,-32.07,82.92,263.74,5,4080.37,4,-1789.64,15.28,4210.84,-575.48,122.22,-2546.16,31.18,2.42,15368.76,4.62,-1708.77,-1666.52,234.4
USA,-64.36,172.53,Medium,16343.22,11.13,-151.62,-11.93,-55.74,44.94,882.39,-1533.87,40.06,1746.26,-9.62,393.17,-24.86,161.67,302.42,6,10121.88,4,-1743.26,7.1,4149.24,-677.26,278.01,-2287.44,49.14,3.56,15028.82,2.91,-2084.25,-2408.78,77.53
Europe,-61.88,252.6,Low,8425.38,2.97,-337.32,-9.56,-78.43,64.23,151.65,-1611.09,22.08,1600.68,-7.76,137.55,-26.93,135.45,197.1,3,-909.98,7,-1180.88,5.23,5078.48,-253.42,179.64,-1953.06,41.1,4.94,19978.79,8.13,-1832.8,-1438.96,500.04
Europe,-62.36,130.23,High,21331.8,32.1,-239.13,-10.63,-75.6,43.68,1027.35,-1850.37,23.26,816.62,-12.52,315.56,-21,131.7,518.5,2,5174.84,3,-1524.72,0.06,4519.22,86.42,14.43,-2404.54,67.84,1.34,18201.04,2.79,-2007.9,-2412.68,383.15
Rest,-82.26,139.29,High,41930.4,-0.27,-205.41,-6.21,-95.94,64.53,1161.03,-72.63,28.76,600.66,-18.24,-150.93,-29.79,246.39,338.24,3,7445.22,5,-1278.84,0,4650,-510.96,29.64,-2212.16,49.36,7.88,18617.16,20.49,-1911.2,-1812.2,-8.93
Europe,-69.66,303.36,Low,25942.71,17.43,-316.05,-8.72,-66.39,60.87,588.63,-1245.15,29.63,856.68,-2.36,138.35,-25.39,149.61,586.4,6,3875.79,5,-1776.46,14.35,3830.9,-1076.18,124.35,-1880.32,38.28,11,23163.35,5.94,-2008.4,-2015.22,216.37
Rest,-67.18,353.94,Medium,14321.82,-7.41,-523.59,-10.33,-32.59,63.6,-104.76,-2682.69,19.77,1726.4,-1.14,268.75,-28.06,345.03,265.76,0,5440.15,4,-1661.82,16.79,3861.38,143.04,140.43,-1790.24,41.62,4.96,12706.72,4.83,-2749.31,-1849.94,312.45
UK,-64.88,195.78,Low,25644.42,-2.16,-238.5,-9.29,-99.52,63.96,258.99,-383.85,24.77,1365.9,-9.14,422.43,-25.24,192.9,247.64,7,1568.22,4,-3462.48,1.34,4198.86,-812.92,260.76,-1370.56,47.58,8.04,30281.03,24.6,-2038.42,-2122.8,-8.93
USA,-72.06,79.38,Very high,26599.95,-8.46,-292.32,-10.98,-81.38,48.06,937.05,95.82,22.39,888.18,-3.14,76.33,-16.34,157.77,238.04,2,1635.33,3,-362.7,9.35,3539.5,-936.14,171.09,-1931.84,47.4,5.98,16118.06,7.8,-1915.14,-1964.18,388.99
Rest,-76.48,235.98,Low,20619.42,-4.8,-430.89,-9.53,-102.54,56.4,804.36,-666.21,23.24,1269,-3.4,302.01,-25.72,-2.13,235.92,5,6665.95,2,-496.92,359.75,3616.78,-1029.06,126.09,-1534.24,50.36,22.94,17428.56,6.15,-1753.22,-1196.28,17.55
UK,-66.14,138.9,Medium,30836.97,11.91,-205.14,-3.62,-84.02,19.56,2094.54,-776.94,31.72,8.2,-6.2,263.31,-29.7,66.96,295.4,4,2515.79,4,-1323.28,0.16,4406.68,-735.38,240.3,-2956.62,53.04,1.12,22753.27,3.72,-1792.5,-2531.52,468.12
Europe,-67.48,113.22,Very low,40017.36,12.24,-194.76,-8.9,-84.9,65.52,312.36,-1759.02,19.45,1366.68,-10.54,659.82,-28.93,168.6,287.66,6,7855.71,3,-2894.62,0.01,5586.76,-148,353.64,-2406.72,60.34,5.12,17918.41,7.92,-1963.11,-2237.16,-8.93
Rest,-70.38,226.14,Low,4684.38,3.48,-348.12,-9.15,-87.34,66.57,1720.2,771.18,22.85,1008.06,-6.86,-119.68,-25.1,113.25,309,3,9133.23,1,-386.56,7.9,4145.36,-1046.66,149.97,-2220.74,35.1,5.98,16916.83,0.99,-3846.33,-1685.24,62.41
Europe,-70.84,108.3,Very low,25970.64,5.85,-78.27,-5.8,-87.26,52.86,641.64,-1028.88,18.45,2201.78,-0.98,539.02,-25.59,246.03,142.1,5,1131.25,9,-1520.44,0,5227.04,-97.68,229.95,-1926.56,87,8.88,15319.48,30.63,-290.77,-2948.5,-8.93
Europe,-77.36,47.7,High,28544.61,11.01,-286.56,-9.24,-106.84,58.32,-845.1,-2747.07,12.74,853.04,-12.2,37.05,-21.92,215.67,291.14,3,2355.46,3,-2251.9,74.12,5190.3,-183.06,172.14,-3336.86,45.2,5.62,18515.73,16.68,-1849.49,-2694.34,-8.93
UK,-72.5,262.47,Low,12161.43,-8.25,-192.33,-7.85,-49.6,59.43,1074.84,-2468.37,19.47,1694.6,-10.74,-34.91,-27.15,158.58,242.58,4,2249.53,4,-1551.5,9.27,4087.2,-926.34,240.96,-2281.6,44.74,13.46,28232.09,9.54,-1693.01,-3152.2,70.05
Europe,-75.9,89.28,Medium,26723.58,5.55,-220.11,-12.92,-48.42,61.62,320.52,-1557.21,21.32,420.06,-3.76,472.17,-25.75,249.33,310.54,4,2503.13,5,-1899.16,53.21,4713.12,515.68,231.99,-2143.08,48.3,13.06,21926.96,7.17,-2109.52,-2347.82,418.03
UK,-81.68,320.04,Very high,15985.29,-2.97,-199.8,-8.96,-84.84,56.58,1817.01,-3004.92,19.7,1705.88,-0.18,335.99,-26.02,233.61,318.18,4,2146.04,3,-425.82,4.18,4837.26,-642.52,104.55,-2164.56,52.44,15.22,17417.41,5.73,-1760.6,-1786.28,716.21
